CountyOrParish,num_sales,median_close_price,avg_price_per_sqft,avg_days_on_market,avg_price_ratio
Los Angeles,115662,905000.0,686.0490084924893,36.68674240459269,97.49696669938227
Riverside,64542,600000.0,352.63993921240484,48.497768894673236,98.04745372532864
San Diego,58085,900000.0,853.9803615274163,29.561366962210553,1.3536295882454028
Orange,52330,1185000.0,771.0125079511319,31.52254920695586,70.92656822991204
San Bernardino,43259,533000.0,352.6592711505709,46.02972791788992,51.1741948766988
Alameda,21966,1135000.0,770.4665512939483,25.89679504689065,1.222353618567422
Contra Costa,21337,825000.0,581.7203361863523,28.603786849135304,1.0537334918984367
Santa Clara,19313,1580000.0,1061.2078226561189,22.31336405529954,1.0381124828931665
Ventura,14631,870000.0,613.2650211439288,43.11113389378716,1.4187138093177158
San Mateo,7802,1693500.0,1115.7764506393899,28.22468597795437,2.638653623737844
San Luis Obispo,6811,875000.0,578.3686688815742,43.127294083100864,1.3964005786509341
Butte,4734,399952.5,261.6705195008619,52.42310942120828,1.402622081869835
Monterey,4395,905000.0,749.0569150293674,45.886689419795225,0.9642153600535059
Kern,4145,370000.0,285.21837083112763,47.621471652593485,1.8398388803975447
Santa Cruz,3326,1191000.0,821.8088057969336,38.323511725796756,0.9738631277432112
Merced,2923,415000.0,264.92153362868936,43.384536435169345,2.0789458548276185
Santa Barbara,2352,725000.0,632.9102116498874,40.20110544217687,1.0282742176262527
Lake,2021,309900.0,217.80207676742396,84.95596239485403,0.9221268557809594
San Joaquin,1952,639500.0,323.5396972040612,40.59754224270353,1.543572854064255
Solano,1762,565905.0,352.4657421425645,39.5,0.9955614547221527
Fresno,1546,415000.0,258.6121147731116,41.567270375161705,2.324632501444953
Madera,1378,425000.0,259.73839008333016,64.388969521045,1.722060328536265
San Francisco,1028,1186944.0,2219.63019935706,40.35700389105058,1.042946440030887
Sacramento,997,472000.0,321.2794314482951,32.502507522567704,0.9906498764875067
San Benito,922,780000.0,436.39326824820097,45.87418655097614,0.9773551313196011
Stanislaus,707,470000.0,293.91134188407443,36.743988684582746,0.9949366742644713
Mendocino,492,643500.0,466.0305611253749,89.08333333333333,0.9171326175032836
Tehama,447,326000.0,226.33025695319992,69.5682326621924,0.9414160951219263
Mariposa,415,405000.0,282.9575396098339,78.57590361445783,0.9301589501803589
Tulare,415,390000.0,240.49524786757777,42.86987951807229,12.186843034668781
Glenn,398,350000.0,246.06464229723187,49.37688442211055,3.1715172306954256
Imperial,334,306500.0,208.2915691136405,53.88922155688623,0.9648557128640667
Tuolumne,274,387750.0,278.58304028027106,76.76277372262774,0.9475527058761826
Kings,270,355000.0,241.1167209896322,39.044444444444444,4.716904540706083
Placer,229,635000.0,352.16296416747014,34.414847161572055,0.9649668570405495
Sonoma,181,737000.0,518.9982680634687,47.469613259668506,0.9696308741977199
Yuba,170,409500.0,251.58234357042897,67.6,0.9505076283760732
Marin,165,1160000.0,750.3560649981774,48.836363636363636,0.9736934648904203
Napa,136,825000.0,496.37971136345726,58.98529411764706,0.9723383138660172
Calaveras,120,483000.0,275.95565405253757,63.38333333333333,0.9280928424880125
Shasta,116,370450.0,217.06480984808402,75.38793103448276,0.9271436561467613
Sutter,111,415000.0,263.4675960141535,37.468468468468465,16.074653330113627
Yolo,101,600000.0,344.982290490916,43.524752475247524,0.9778046737959083
El Dorado,95,702000.0,382.5864705865544,69.22105263157894,0.9484408147332084
Siskiyou,68,355375.0,199.97075316988307,119.02941176470588,0.9230500844056977
Nevada,54,512500.0,356.4135614215035,50.01851851851852,0.9288069843759498
Plumas,45,395000.0,286.40796714061895,74.6,0.9131625614015315
Trinity,42,350000.0,208.17469915073903,130.3095238095238,0.8998577536124215
Colusa,30,402500.0,204.7328641891153,47.333333333333336,0.938402865466961
Amador,29,410000.0,231.1758237520912,116.13793103448276,0.8901088322529358
Mono,17,915000.0,669.9451918032477,73.88235294117646,0.9330330836194654
Lassen,17,200000.0,159.6352395688217,106.88235294117646,0.8901748346247992
Other State,16,421875.0,237.2952486648319,77.875,0.884972459965431
Humboldt,14,447500.0,287.6594794235402,114.64285714285714,0.832205452005625
Other,13,725000.0,400.7356839356669,119.3076923076923,0.9191798952598321
Inyo,9,597500.0,425.61999422411463,57.55555555555556,0.9108153027351532
Foreign Country,7,200000.0,118.79079715605381,255.42857142857142,0.8838431371400455
Other County,3,325000.0,119542.4746550718,45.333333333333336,385.2682853036835
Modoc,3,225000.0,156.71115435583022,132.66666666666666,0.9534118645866497
Sierra,1,255000.0,222.9020979020979,1.0,0.9444444444444444
Alpine,1,1100000.0,267.11996114618745,231.0,0.6666666666666666
Clark,1,375000.0,285.6054836252856,2.0,0.974025974025974
Del Norte,1,2485000.0,390.90766084631116,320.0,0.7646153846153846
